ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample3.tree.
	Opened sample3 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule 'total':
	pulse: 1 s with 0 s delay pulsed with history pulsed_spec

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Zone output requested:
	Response Units: Bq /cm3
	Break-down by Constituent
	Total Decay Heat [W/cm3]


*** Total Decay Heat [W/cm3] ***
h-3 	1.7990e-04  1.7990e-04  1.7987e-04  1.7990e-04  1.7010e-04  
he-6 	1.7145e+04  7.2713e+03  0.0000e+00  7.6416e-19  0.0000e+00  
li-8 	2.1011e+06  9.2244e+05  0.0000e+00  7.4368e-16  0.0000e+00  
be-8 	3.1079e+04  1.3498e+04  0.0000e+00  1.4905e-18  0.0000e+00  
be-10 	6.2690e-09  6.2690e-09  6.2690e-09  6.2690e-09  6.2690e-09  
be-11 	8.6632e+04  8.2392e+04  0.0000e+00  4.2639e+03  0.0000e+00  
b-12 	2.5713e+05  3.2187e-10  0.0000e+00  0.0000e+00  0.0000e+00  
b-13 	2.2222e+03  1.1123e-14  0.0000e+00  0.0000e+00  0.0000e+00  
c-14 	8.3633e-11  8.3633e-11  8.3633e-11  8.3633e-11  8.3623e-11  
====================================================================
total	2.4953e+06  1.0256e+06  1.7988e-04  4.2639e+03  1.7010e-04  
Constituent: ni
	Volume Fraction: 0.7	Relative Volume: 219.911
Total Decay Heat [W/cm3]
isotope	 shutdown         1 s         1 d         1 m         1 y   
====================================================================
h-3 	8.0766e-08  8.0766e-08  8.0754e-08  8.0766e-08  7.6366e-08  
v-52 	2.7430e-02  2.7346e-02  0.0000e+00  2.2795e-02  0.0000e+00  
cr-51 	1.8244e-06  1.8244e-06  1.7793e-06  1.8244e-06  2.0240e-10  
cr-55 	7.0912e+00  7.0681e+00  0.0000e+00  5.8302e+00  0.0000e+00  
cr-56 	6.3182e-03  6.3059e-03  0.0000e+00  5.6216e-03  0.0000e+00  
mn-53 	5.6835e-14  5.6835e-14  5.6835e-14  5.6835e-14  5.6835e-14  
mn-54 	7.6425e-04  7.6425e-04  7.6256e-04  7.6425e-04  3.4070e-04  
mn-56 	2.3996e+00  2.3995e+00  3.7923e-03  2.3890e+00  0.0000e+00  
mn-57 	2.5565e+01  2.5382e+01  0.0000e+00  1.6622e+01  0.0000e+00  
mn-58 	5.7162e+01  5.6559e+01  0.0000e+00  3.0235e+01  0.0000e+00  
mn-58m	1.7206e+02  1.3657e+02  0.0000e+00  1.6409e-04  0.0000e+00  
mn-59 	4.1782e-01  3.5938e-01  0.0000e+00  4.9490e-05  0.0000e+00  
fe-53 	4.3159e-02  4.3100e-02  0.0000e+00  3.9783e-02  0.0000e+00  
fe-53m	2.0793e-02  2.0700e-02  0.0000e+00  1.5894e-02  0.0000e+00  
fe-55 	6.3248e-04  6.3248e-04  6.3204e-04  6.3248e-04  4.9132e-04  
fe-59 	4.2196e-02  4.2196e-02  4.1544e-02  4.2195e-02  1.4555e-04  
fe-60 	1.5158e-12  1.5158e-12  1.5158e-12  1.5158e-12  1.5158e-12  
fe-61 	4.1274e+01  4.1194e+01  0.0000e+00  3.6757e+01  0.0000e+00  
co-55 	7.8027e-04  7.8027e-04  3.0207e-04  7.7976e-04  0.0000e+00  
co-56 	3.1419e-02  3.1419e-02  3.1139e-02  3.1419e-02  1.2014e-03  
co-57 	2.3320e-01  2.3320e-01  2.3540e-01  2.3320e-01  9.5149e-02  
co-58 	1.4581e-01  1.4581e-01  1.4818e-01  1.4582e-01  4.2731e-03  
co-58m	2.1367e-02  2.1367e-02  3.3237e-03  2.1340e-02  0.0000e+00  
co-60 	6.6193e-02  6.6268e-02  1.3377e-01  7.0526e-02  1.1739e-01  
co-60m	4.4003e+02  4.3955e+02  2.1253e-39  4.1185e+02  0.0000e+00  
co-61 	1.8565e+01  1.8564e+01  8.0150e-04  1.8497e+01  0.0000e+00  
co-62 	2.2022e+03  2.1853e+03  2.6624e-34  1.3879e+03  0.0000e+00  
co-62m	1.8242e+02  1.8227e+02  1.2522e-29  1.7356e+02  0.0000e+00  
co-63 	2.0662e+02  2.0146e+02  0.0000e+00  4.5288e+01  0.0000e+00  
co-64 	1.4237e+03  1.4125e+02  0.0000e+00  0.0000e+00  0.0000e+00  
ni-56 	2.9213e-04  2.9213e-04  2.6075e-04  2.9210e-04  3.1803e-22  
ni-57 	2.0217e+01  2.0217e+01  1.2686e+01  2.0210e+01  0.0000e+00  
ni-59 	3.9853e-07  3.9853e-07  3.9853e-07  3.9853e-07  3.9853e-07  
ni-63 	1.4199e-04  1.4199e-04  1.4201e-04  1.4201e-04  1.4103e-04  
ni-65 	9.8303e+01  9.8295e+01  1.3354e-01  9.7853e+01  0.0000e+00  
cu-64 	2.6722e-05  2.6721e-05  7.2124e-06  2.6697e-05  0.0000e+00  
cu-66 	2.5565e-02  2.5507e-02  0.0000e+00  2.2316e-02  0.0000e+00  
====================================================================
total	4.8987e+03  3.5571e+03  1.3420e+01  2.2476e+03  2.1913e-01  
Total (All constituents) 
	COMPACTED
	Volume Fraction: 1	Relative Volume: 314.159
Total Decay Heat [W/cm3]
isotope	 shutdown         1 s         1 d         1 m         1 y   
====================================================================
h-3 	4.5043e-05  4.5043e-05  4.5036e-05  4.5043e-05  4.2589e-05  
he-6 	4.2884e+03  1.8188e+03  0.0000e+00  1.9114e-19  0.0000e+00  
li-8 	5.2529e+05  2.3061e+05  0.0000e+00  1.8592e-16  0.0000e+00  
be-8 	7.7721e+03  3.3745e+03  0.0000e+00  3.7263e-19  0.0000e+00  
be-10 	1.5704e-09  1.5704e-09  1.5704e-09  1.5704e-09  1.5704e-09  
