ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample2.tree.
	Opened sample2 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule '1_year':
	pulse: 1 y with 0 s delay pulsed with history steady_state

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Interval output requested:
	Response Units: Bq /cm3
	Number Density [atoms/cm3]
	Specific Activity [Bq/cm3]


*** Number Density [atoms/cm3] ***
cl-40 	1.5030e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
ar-36 	4.6989e+14  4.6989e+14  4.6991e+14  4.6995e+14  4.7595e+14  
ar-37 	8.4107e+13  8.2460e+13  1.1634e+13  6.2762e+10  0.0000e+00  
ar-38 	1.7123e+15  1.7123e+15  1.7123e+15  1.7123e+15  1.7123e+15  
ar-39 	1.4656e+15  1.4656e+15  1.4646e+15  1.4618e+15  1.1337e+15  
ar-40 	9.4139e+14  9.4139e+14  9.4139e+14  9.4139e+14  9.4139e+14  
ar-41 	1.2490e+10  1.3872e+06  0.0000e+00  0.0000e+00  0.0000e+00  
ar-42 	1.3093e+09  1.3093e+09  1.3018e+09  1.2822e+09  1.6142e+08  
ar-43 	3.2212e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
ar-45 	8.2895e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
k-38 	3.2509e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
k-38m	1.0040e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
k-39 	2.1458e+18  2.1458e+18  2.1458e+18  2.1458e+18  2.1461e+18  
k-40 	1.3104e+16  1.3104e+16  1.3104e+16  1.3104e+16  1.3104e+16  
k-41 	1.5517e+17  1.5517e+17  1.5517e+17  1.5517e+17  1.5517e+17  
k-42 	8.7970e+11  2.2924e+11  0.0000e+00  0.0000e+00  0.0000e+00  
k-43 	8.8849e+09  4.1997e+09  2.5400e-23  0.0000e+00  0.0000e+00  
k-44 	5.4958e+08  1.4190e-11  0.0000e+00  0.0000e+00  0.0000e+00  
k-45 	2.4323e+05  2.3844e-20  0.0000e+00  0.0000e+00  0.0000e+00  
k-46 	1.2763e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
k-48 	1.0948e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
ca-40 	3.2598e+18  3.2598e+18  3.2598e+18  3.2598e+18  3.2598e+18  
ca-41 	2.3092e+15  2.3092e+15  2.3092e+15  2.3092e+15  2.3076e+15  
