14	0.1835	0.1448	0.1275	0.1082	0.09614	0.08748	0.08077	0.07082	0.06361	0.05183	0.0448	0.03678	0.0324	0.02967	0.02788	0.02574	0.02462	0.02352	0.02338
15	0.1865	0.1432	0.125	0.1055	0.09359	0.08511	0.07854	0.06884	0.06182	0.05039	0.04358	0.0359	0.03172	0.02915	0.02747	0.02552	0.02452	0.02364	0.02363
16	0.202	0.1506	0.1302	0.1091	0.09667	0.08783	0.08104	0.071	0.06374	0.05194	0.04498	0.03716	0.03294	0.03037	0.02872	0.02683	0.0259	0.02517	0.02529
17	0.205	0.148	0.1266	0.1054	0.09311	0.08453	0.07795	0.06826	0.06128	0.04994	0.04328	0.03585	0.03188	0.0295	0.02798	0.02628	0.02548	0.02496	0.0252
18	0.2043	0.1427	0.1205	0.09953	0.08776	0.07958	0.07335	0.06419	0.05762	0.04695	0.04074	0.03384	0.03019	0.02802	0.02667	0.02517	0.02451	0.02418	0.02453
19	0.2345	0.1582	0.1319	0.108	0.09495	0.086	0.07922	0.06929	0.06216	0.05068	0.04399	0.03666	0.03282	0.03054	0.02915	0.02766	0.02704	0.02687	0.02737
20	0.2571	0.1674	0.1376	0.1116	0.09782	0.08851	0.08147	0.07121	0.06388	0.05206	0.04524	0.0378	0.03395	0.0317	0.03034	0.02892	0.02839	0.02838	0.02903
24	0.3167	0.1788	0.1378	0.1067	0.09213	0.08281	0.07598	0.0662	0.0593	0.04832	0.04213	0.03559	0.03235	0.03057	0.02956	0.02869	0.02855	0.0292	0.03026
25	0.3367	0.1838	0.1391	0.1062	0.09133	0.08192	0.07509	0.06537	0.05852	0.04769	0.04162	0.03524	0.03213	0.03045	0.02952	0.02875	0.02871	0.02951	0.03068
26	0.3717	0.1964	0.146	0.1099	0.094	0.08414	0.07704	0.06699	0.05995	0.04883	0.04265	0.03621	0.03312	0.03146	0.03057	0.02991	0.02994	0.03092	0.03224
28	0.444	0.2208	0.1582	0.1154	0.09765	0.08698	0.07944	0.06891	0.0616	0.05015	0.04387	0.03745	0.03444	0.03289	0.0321	0.03164	0.03185	0.0332	0.03476
29	0.4585	0.2217	0.1559	0.1119	0.09413	0.08362	0.07625	0.06605	0.05901	0.04803	0.04205	0.03599	0.03318	0.03177	0.03108	0.03074	0.03103	0.03247	0.03408
40	0.966	0.379	0.2237	0.1318	0.1018	0.08694	0.07756	0.06571	0.0581	0.047	0.04147	0.03644	0.03451	0.03384	0.03374	0.03441	0.03554	0.03855	0.04122
41	1.036	0.4023	0.2344	0.1357	0.104	0.08832	0.07858	0.06642	0.05866	0.04741	0.04185	0.03686	0.03498	0.03436	0.03432	0.03508	0.03628	0.03944	0.04224
42	1.096	0.4208	0.2423	0.1379	0.1047	0.08848	0.07851	0.06619	0.05837	0.04713	0.04163	0.03675	0.03496	0.03439	0.0344	0.03523	0.0365	0.03978	0.04264
