,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
454,Br-072,350720,1.0,30.0
455,Br-072m,350721,1.0,30.0
456,Br-073,350730,1.0,36.0
457,Br-074,350740,1.0,38.0
458,Br-074m,350741,1.0,37.0
459,Br-075,350750,1.0,36.0
460,Br-076,350760,18.0,36.0
461,Br-076m,350761,2.0,36.0
462,Br-077,350770,18.0,34.0
463,Br-077m,350771,1.0,34.0
464,Br-078,350780,2.0,36.0
465,Br-079,350790,21.0,35.0
466,Br-079m,350791,1.0,35.0
467,Br-080,350800,2.0,35.0
468,Br-080m,350801,1.0,35.0
469,Br-081,350810,21.0,34.0
470,Br-082,350820,21.0,33.0
471,Br-082m,350821,2.0,34.0
472,Br-083,350830,2.0,31.0
473,Br-084,350840,1.0,30.0
474,Br-084m,350841,1.0,31.0
475,Br-085,350850,2.0,27.0
476,Br-086,350860,1.0,27.0
477,Br-087,350870,0.0,26.0
478,Br-088,350880,0.0,27.0
479,Br-089,350890,0.0,19.0
480,Br-090,350900,0.0,19.0
481,Kr-072,360720,0.0,30.0
482,Kr-073,360730,0.0,35.0
483,Kr-074,360740,1.0,33.0
484,Kr-075,360750,1.0,35.0
485,Kr-076,360760,17.0,34.0
486,Kr-077,360770,1.0,35.0
487,Kr-078,360780,18.0,33.0
488,Kr-079,360790,20.0,34.0
489,Kr-079m,360791,1.0,34.0
490,Kr-080,360800,20.0,32.0
491,Kr-081,360810,21.0,35.0
492,Kr-081m,360811,2.0,35.0
493,Kr-082,360820,21.0,32.0
494,Kr-083,360830,22.0,35.0
495,Kr-083m,360831,1.0,35.0
496,Kr-084,360840,22.0,30.0
497,Kr-085,360850,21.0,31.0
498,Kr-085m,360851,2.0,31.0
499,Kr-086,360860,19.0,27.0
500,Kr-087,360870,1.0,29.0
501,Kr-088,360880,1.0,25.0
502,Kr-089,360890,1.0,27.0
503,Kr-090,360900,0.0,26.0
504,Kr-091,360910,0.0,27.0
505,Kr-092,360920,0.0,25.0
506,Kr-093,360930,0.0,26.0
507,Rb-075,370750,0.0,32.0
508,Rb-076,370760,0.0,36.0
509,Rb-077,370770,0.0,36.0
510,Rb-078,370780,1.0,36.0
511,Rb-078m,370781,2.0,36.0
512,Rb-079,370790,1.0,36.0
513,Rb-080,370800,1.0,35.0
514,Rb-081,370810,1.0,34.0
515,Rb-081m,370811,2.0,34.0
516,Rb-082,370820,1.0,34.0
517,Rb-082m,370821,1.0,34.0
518,Rb-083,370830,22.0,34.0
519,Rb-084,370840,21.0,34.0
520,Rb-084m,370841,1.0,35.0
521,Rb-085,370850,22.0,34.0
522,Rb-086,370860,22.0,33.0
523,Rb-086m,370861,1.0,35.0
524,Rb-087,370870,20.0,31.0
525,Rb-088,370880,1.0,33.0
526,Rb-089,370890,1.0,30.0
527,Rb-090,370900,1.0,30.0
528,Rb-090m,370901,2.0,30.0
529,Rb-091,370910,0.0,30.0
530,Rb-092,370920,0.0,27.0
531,Rb-093,370930,0.0,28.0
532,Rb-094,370940,0.0,28.0
533,Sr-076,380760,0.0,28.0
534,Sr-077,380770,0.0,30.0
535,Sr-078,380780,0.0,32.0
536,Sr-079,380790,0.0,34.0
537,Sr-080,380800,1.0,34.0
538,Sr-081,380810,1.0,34.0
539,Sr-082,380820,19.0,33.0
540,Sr-083,380830,19.0,33.0
541,Sr-083m,380831,1.0,34.0
542,Sr-084,380840,20.0,32.0
543,Sr-085,380850,18.0,33.0
544,Sr-085m,380851,2.0,33.0
545,Sr-086,380860,20.0,31.0
546,Sr-087,380870,18.0,32.0
547,Sr-087m,380871,2.0,33.0
548,Sr-088,380880,17.0,30.0
549,Sr-089,380890,19.0,32.0
550,Sr-090,380900,18.0,32.0
551,Sr-091,380910,2.0,30.0
552,Sr-092,380920,1.0,29.0
553,Sr-093,380930,2.0,29.0
554,Sr-094,380940,1.0,26.0
555,Sr-095,380950,1.0,27.0
556,Sr-096,380960,2.0,26.0
557,Y-078m,390781,0.0,28.0
558,Y-079,390790,0.0,29.0
559,Y-080,390800,0.0,36.0
560,Y-080m,390801,0.0,31.0
561,Y-081,390810,0.0,36.0
562,Y-082,390820,1.0,31.0
563,Y-083,390830,1.0,34.0
564,Y-083m,390831,1.0,35.0
565,Y-084,390840,1.0,35.0
566,Y-084m,390841,1.0,35.0
567,Y-085,390850,1.0,34.0
568,Y-085m,390851,1.0,34.0
569,Y-086,390860,21.0,34.0
570,Y-086m,390861,2.0,34.0
571,Y-087,390870,21.0,34.0
572,Y-087m,390871,2.0,34.0
573,Y-088,390880,19.0,34.0
574,Y-089,390890,19.0,32.0
575,Y-089m,390891,1.0,33.0
576,Y-090,390900,22.0,35.0
577,Y-090m,390901,1.0,35.0
578,Y-091,390910,21.0,35.0
579,Y-091m,390911,1.0,36.0
580,Y-092,390920,1.0,34.0
581,Y-093,390930,1.0,34.0
582,Y-093m,390931,1.0,0.0
583,Y-094,390940,1.0,32.0
584,Y-095,390950,1.0,28.0
585,Y-096,390960,1.0,28.0
586,Y-096m,390961,1.0,29.0
587,Y-096n,390962,1.0,0.0
588,Y-097,390970,2.0,28.0
589,Y-097m,390971,3.0,28.0
590,Y-098m,390981,0.0,28.0
591,Y-099,390990,0.0,28.0
592,Zr-080,400800,0.0,34.0
593,Zr-081,400810,0.0,30.0
594,Zr-082,400820,0.0,29.0
595,Zr-083,400830,0.0,34.0
596,Zr-084,400840,1.0,34.0
597,Zr-085,400850,1.0,34.0
598,Zr-085m,400851,1.0,34.0
599,Zr-086,400860,21.0,32.0
600,Zr-087,400870,1.0,33.0
601,Zr-087m,400871,1.0,33.0
602,Zr-088,400880,20.0,32.0
603,Zr-089,400890,20.0,33.0
604,Zr-089m,400891,2.0,33.0
605,Zr-090,400900,19.0,31.0
606,Zr-090m,400901,1.0,0.0
607,Zr-091,400910,20.0,34.0
608,Zr-092,400920,20.0,35.0
609,Zr-093,400930,21.0,35.0
610,Zr-094,400940,18.0,36.0
611,Zr-095,400950,19.0,35.0
612,Zr-096,400960,19.0,29.0
613,Zr-097,400970,21.0,30.0
614,Zr-098,400980,1.0,27.0
615,Zr-099,400990,2.0,28.0
616,Zr-100,401000,0.0,27.0
617,Zr-101,401010,0.0,27.0
618,Zr-102,401020,0.0,26.0
619,Zr-103,401030,0.0,25.0
620,Nb-083,410830,0.0,36.0
621,Nb-084,410840,0.0,30.0
622,Nb-085,410850,0.0,27.0
623,Nb-086,410860,1.0,35.0
624,Nb-086m,410861,0.0,35.0
625,Nb-087,410870,1.0,34.0
626,Nb-087m,410871,1.0,34.0
627,Nb-088,410880,1.0,34.0
628,Nb-088m,410881,1.0,27.0
629,Nb-089,410890,1.0,34.0
630,Nb-089m,410891,1.0,34.0
631,Nb-090,410900,22.0,34.0
632,Nb-090m,410901,1.0,34.0
633,Nb-091,410910,22.0,34.0
634,Nb-091m,410911,22.0,34.0
635,Nb-092,410920,23.0,34.0
636,Nb-092m,410921,23.0,34.0
637,Nb-093,410930,24.0,35.0
638,Nb-093m,410931,24.0,35.0
639,Nb-094,410940,24.0,35.0
640,Nb-094m,410941,2.0,35.0
641,Nb-095,410950,22.0,36.0
642,Nb-095m,410951,22.0,37.0
643,Nb-096,410960,21.0,36.0
644,Nb-097,410970,1.0,36.0
645,Nb-097m,410971,1.0,37.0
646,Nb-098,410980,1.0,36.0
647,Nb-098m,410981,1.0,36.0
648,Nb-099,410990,1.0,33.0
649,Nb-099m,410991,1.0,35.0
650,Nb-100,411000,1.0,33.0
651,Nb-100m,411001,1.0,33.0
652,Nb-101,411010,0.0,28.0
653,Nb-102,411020,0.0,28.0
654,Nb-102m,411021,0.0,28.0
655,Nb-103,411030,0.0,27.0
