,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
1457,Sm-134,621340,0.0,30.0
1458,Sm-135,621350,0.0,29.0
1459,Sm-136,621360,0.0,34.0
1460,Sm-137,621370,0.0,36.0
1461,Sm-138,621380,0.0,37.0
1462,Sm-139,621390,0.0,37.0
1463,Sm-139m,621391,0.0,37.0
1464,Sm-140,621400,0.0,36.0
1465,Sm-141,621410,0.0,36.0
1466,Sm-141m,621411,0.0,36.0
1467,Sm-142,621420,1.0,35.0
1468,Sm-143,621430,1.0,35.0
1469,Sm-143m,621431,2.0,36.0
1470,Sm-144,621440,18.0,36.0
1471,Sm-145,621450,18.0,36.0
1472,Sm-146,621460,16.0,37.0
1473,Sm-147,621470,16.0,37.0
1474,Sm-148,621480,17.0,37.0
1475,Sm-149,621490,17.0,38.0
1476,Sm-150,621500,17.0,37.0
1477,Sm-151,621510,18.0,39.0
1478,Sm-152,621520,18.0,36.0
1479,Sm-153,621530,19.0,34.0
1480,Sm-154,621540,19.0,31.0
1481,Sm-155,621550,1.0,29.0
1482,Sm-156,621560,1.0,29.0
1483,Sm-157,621570,1.0,31.0
1484,Sm-158,621580,1.0,29.0
1485,Sm-159,621590,1.0,30.0
1486,Sm-160,621600,0.0,29.0
1487,Sm-161,621610,0.0,22.0
1488,Sm-162,621620,0.0,20.0
1489,Sm-163,621630,0.0,21.0
1490,Eu-135,631350,0.0,28.0
1491,Eu-136,631360,0.0,31.0
1492,Eu-136m,631361,0.0,32.0
1493,Eu-137,631370,0.0,31.0
1494,Eu-138,631380,0.0,30.0
1495,Eu-139,631390,0.0,38.0
1496,Eu-140,631400,0.0,37.0
1497,Eu-141,631410,0.0,37.0
1498,Eu-141m,631411,0.0,37.0
1499,Eu-142,631420,0.0,37.0
1500,Eu-142m,631421,0.0,31.0
1501,Eu-143,631430,1.0,35.0
1502,Eu-144,631440,1.0,36.0
1503,Eu-145,631450,16.0,35.0
1504,Eu-146,631460,17.0,37.0
1505,Eu-147,631470,16.0,38.0
1506,Eu-148,631480,16.0,39.0
1507,Eu-149,631490,18.0,39.0
1508,Eu-150,631500,18.0,39.0
1509,Eu-150m,631501,19.0,39.0
1510,Eu-151,631510,20.0,39.0
1511,Eu-152,631520,21.0,39.0
1512,Eu-152m,631521,21.0,39.0
1513,Eu-152n,631522,1.0,39.0
1514,Eu-153,631530,21.0,37.0
1515,Eu-154,631540,22.0,37.0
1516,Eu-154m,631541,1.0,35.0
1517,Eu-155,631550,21.0,35.0
1518,Eu-156,631560,21.0,32.0
1519,Eu-157,631570,18.0,30.0
1520,Eu-158,631580,1.0,22.0
1521,Eu-159,631590,1.0,29.0
1522,Eu-160,631600,1.0,22.0
1523,Eu-161,631610,0.0,22.0
1524,Eu-162,631620,0.0,22.0
1525,Eu-163,631630,0.0,21.0
1526,Eu-164,631640,0.0,21.0
1527,Eu-165,631650,0.0,21.0
1528,Eu-166,631660,0.0,21.0
1529,Gd-135,641350,0.0,28.0
1530,Gd-136,641360,0.0,28.0
1531,Gd-137,641370,0.0,29.0
1532,Gd-138,641380,0.0,32.0
1533,Gd-139,641390,0.0,35.0
1534,Gd-139m,641391,0.0,33.0
1535,Gd-140,641400,0.0,34.0
1536,Gd-141,641410,0.0,38.0
1537,Gd-141m,641411,0.0,38.0
1538,Gd-142,641420,0.0,37.0
1539,Gd-143,641430,0.0,37.0
1540,Gd-143m,641431,0.0,36.0
1541,Gd-144,641440,0.0,35.0
1542,Gd-145,641450,1.0,36.0
1543,Gd-145m,641451,2.0,36.0
1544,Gd-146,641460,16.0,35.0
1545,Gd-147,641470,18.0,36.0
1546,Gd-148,641480,16.0,37.0
1547,Gd-149,641490,16.0,38.0
1548,Gd-150,641500,17.0,38.0
1549,Gd-151,641510,17.0,38.0
1550,Gd-152,641520,19.0,38.0
1551,Gd-153,641530,19.0,38.0
1552,Gd-154,641540,19.0,36.0
1553,Gd-155,641550,19.0,36.0
1554,Gd-156,641560,17.0,36.0
1555,Gd-157,641570,17.0,33.0
1556,Gd-158,641580,16.0,32.0
1557,Gd-159,641590,17.0,29.0
1558,Gd-160,641600,16.0,30.0
1559,Gd-161,641610,1.0,31.0
1560,Gd-162,641620,1.0,29.0
1561,Gd-163,641630,1.0,22.0
1562,Gd-164,641640,1.0,30.0
1563,Gd-165,641650,1.0,22.0
1564,Gd-166,641660,0.0,21.0
1565,Gd-167,641670,0.0,21.0
1566,Gd-169,641690,0.0,21.0
1567,Tb-139,651390,0.0,28.0
1568,Tb-140,651400,0.0,30.0
1569,Tb-141,651410,0.0,38.0
1570,Tb-141m,651411,0.0,31.0
1571,Tb-143,651430,0.0,38.0
1572,Tb-143m,651431,0.0,32.0
1573,Tb-144,651440,0.0,38.0
1574,Tb-144m,651441,0.0,35.0
1575,Tb-145,651450,0.0,27.0
1576,Tb-146,651460,1.0,37.0
1577,Tb-146m,651461,1.0,37.0
1578,Tb-147,651470,1.0,35.0
1579,Tb-147m,651471,1.0,35.0
1580,Tb-148,651480,1.0,38.0
1581,Tb-148m,651481,1.0,38.0
1582,Tb-149,651490,3.0,38.0
1583,Tb-149m,651491,3.0,38.0
1584,Tb-150,651500,3.0,32.0
1585,Tb-150m,651501,1.0,38.0
1586,Tb-151,651510,20.0,39.0
1587,Tb-151m,651511,2.0,39.0
1588,Tb-152,651520,20.0,35.0
1589,Tb-152m,651521,2.0,39.0
1590,Tb-153,651530,23.0,39.0
1591,Tb-154,651540,22.0,39.0
1592,Tb-154m,651541,2.0,39.0
1593,Tb-154n,651542,2.0,39.0
1594,Tb-155,651550,23.0,38.0
1595,Tb-156,651560,23.0,38.0
1596,Tb-156m,651561,2.0,38.0
1597,Tb-156n,651562,23.0,38.0
1598,Tb-157,651570,20.0,37.0
1599,Tb-158,651580,21.0,37.0
1600,Tb-158m,651581,1.0,37.0
1601,Tb-159,651590,17.0,36.0
1602,Tb-160,651600,18.0,36.0
1603,Tb-161,651610,17.0,32.0
1604,Tb-162,651620,1.0,30.0
1605,Tb-163,651630,1.0,30.0
1606,Tb-164,651640,1.0,23.0
1607,Tb-165,651650,2.0,22.0
1608,Tb-166,651660,1.0,30.0
1609,Tb-167,651670,0.0,22.0
1610,Tb-168,651680,0.0,22.0
1611,Tb-169,651690,0.0,22.0
1612,Tb-170,651700,0.0,22.0
1613,Dy-142,661420,0.0,31.0
1614,Dy-143,661430,0.0,36.0
1615,Dy-143m,661431,0.0,35.0
1616,Dy-144,661440,0.0,37.0
1617,Dy-145,661450,0.0,37.0
1618,Dy-145m,661451,0.0,35.0
1619,Dy-146,661460,0.0,31.0
1620,Dy-147,661470,0.0,36.0
1621,Dy-147m,661471,0.0,36.0
1622,Dy-148,661480,1.0,35.0
1623,Dy-149,661490,1.0,37.0
1624,Dy-150,661500,3.0,36.0
1625,Dy-151,661510,3.0,38.0
1626,Dy-152,661520,3.0,37.0
1627,Dy-153,661530,3.0,38.0
1628,Dy-154,661540,20.0,37.0
1629,Dy-155,661550,19.0,37.0
1630,Dy-156,661560,20.0,37.0
1631,Dy-157,661570,20.0,37.0
1632,Dy-158,661580,19.0,36.0
1633,Dy-159,661590,19.0,36.0
1634,Dy-160,661600,17.0,36.0
1635,Dy-161,661610,17.0,35.0
1636,Dy-162,661620,16.0,34.0
1637,Dy-163,661630,16.0,34.0
1638,Dy-164,661640,17.0,32.0
1639,Dy-165,661650,18.0,30.0
1640,Dy-165m,661651,2.0,30.0
1641,Dy-166,661660,18.0,30.0
1642,Dy-167,661670,1.0,31.0
1643,Dy-168,661680,1.0,30.0
1644,Dy-169,661690,1.0,22.0
1645,Dy-170,661700,1.0,29.0
1646,Dy-171,661710,1.0,22.0
1647,Dy-172,661720,0.0,21.0
1648,Dy-173,661730,0.0,21.0
1649,Ho-145,671450,0.0,29.0
1650,Ho-146,671460,0.0,29.0
1651,Ho-147,671470,0.0,31.0
1652,Ho-148,671480,0.0,36.0
1653,Ho-148m,671481,0.0,30.0
1654,Ho-149,671490,0.0,35.0
1655,Ho-149m,671491,0.0,35.0
1656,Ho-150,671500,0.0,38.0
1657,Ho-150m,671501,0.0,38.0
1658,Ho-151,671510,0.0,40.0
1659,Ho-151m,671511,0.0,40.0
1660,Ho-152,671520,0.0,40.0
1661,Ho-152m,671521,0.0,38.0
1662,Ho-153,671530,3.0,40.0
1663,Ho-153m,671531,3.0,41.0
1664,Ho-154,671540,3.0,40.0
1665,Ho-154m,671541,3.0,40.0
1666,Ho-155,671550,1.0,39.0
1667,Ho-156,671560,1.0,38.0
1668,Ho-156m,671561,0.0,38.0
1669,Ho-156n,671562,0.0,39.0
1670,Ho-157,671570,1.0,38.0
1671,Ho-158,671580,1.0,38.0
1672,Ho-158m,671581,1.0,38.0
1673,Ho-158n,671582,1.0,38.0
1674,Ho-159,671590,1.0,37.0
1675,Ho-159m,671591,1.0,38.0
1676,Ho-160,671600,1.0,37.0
1677,Ho-160m,671601,2.0,38.0
1678,Ho-160n,671602,1.0,37.0
1679,Ho-161,671610,1.0,37.0
1680,Ho-161m,671611,1.0,37.0
1681,Ho-162,671620,1.0,37.0
1682,Ho-162m,671621,2.0,37.0
1683,Ho-163,671630,20.0,37.0
1684,Ho-163m,671631,1.0,37.0
1685,Ho-164,671640,18.0,37.0
1686,Ho-164m,671641,17.0,37.0
1687,Ho-165,671650,20.0,37.0
1688,Ho-166,671660,20.0,32.0
1689,Ho-166m,671661,20.0,32.0
1690,Ho-167,671670,2.0,30.0
1691,Ho-168,671680,1.0,31.0
1692,Ho-168m,671681,0.0,31.0
1693,Ho-169,671690,1.0,30.0
1694,Ho-170,671700,1.0,30.0
1695,Ho-170m,671701,1.0,31.0
1696,Ho-171,671710,1.0,23.0
1697,Ho-172,671720,1.0,23.0
1698,Ho-173,671730,0.0,22.0
1699,Ho-174,671740,0.0,23.0
1700,Ho-175,671750,0.0,22.0
1701,Er-146,681460,0.0,28.0
1702,Er-147,681470,0.0,31.0
1703,Er-147m,681471,0.0,29.0
1704,Er-148,681480,0.0,35.0
1705,Er-149,681490,0.0,32.0
1706,Er-149m,681491,0.0,33.0
1707,Er-150,681500,0.0,35.0
1708,Er-151,681510,0.0,37.0
1709,Er-152,681520,0.0,37.0
1710,Er-153,681530,0.0,38.0
1711,Er-154,681540,0.0,33.0
1712,Er-155,681550,0.0,38.0
1713,Er-156,681560,1.0,38.0
1714,Er-157,681570,1.0,37.0
1715,Er-158,681580,1.0,37.0
1716,Er-159,681590,1.0,37.0
1717,Er-160,681600,1.0,37.0
1718,Er-161,681610,22.0,37.0
1719,Er-162,681620,21.0,36.0
1720,Er-163,681630,1.0,36.0
1721,Er-164,681640,20.0,36.0
1722,Er-165,681650,19.0,36.0
1723,Er-166,681660,21.0,36.0
1724,Er-167,681670,20.0,34.0
1725,Er-167m,681671,1.0,36.0
1726,Er-168,681680,18.0,33.0
1727,Er-169,681690,20.0,31.0
1728,Er-170,681700,17.0,32.0
1729,Er-171,681710,18.0,31.0
1730,Er-172,681720,18.0,30.0
1731,Er-173,681730,1.0,23.0
1732,Er-174,681740,1.0,22.0
1733,Er-175,681750,1.0,22.0
1734,Er-176,681760,0.0,21.0
1735,Er-177,681770,0.0,21.0
1736,Tm-150,691500,0.0,36.0
1737,Tm-151,691510,0.0,30.0
1738,Tm-151m,691511,0.0,28.0
1739,Tm-152,691520,0.0,33.0
1740,Tm-152m,691521,0.0,30.0
1741,Tm-153,691530,0.0,40.0
1742,Tm-153m,691531,0.0,40.0
1743,Tm-154,691540,0.0,40.0
1744,Tm-154m,691541,0.0,41.0
1745,Tm-155,691550,0.0,40.0
1746,Tm-155m,691551,0.0,40.0
1747,Tm-156,691560,0.0,42.0
1748,Tm-157,691570,0.0,42.0
1749,Tm-158,691580,0.0,40.0
1750,Tm-158m,691581,0.0,40.0
1751,Tm-159,691590,0.0,38.0
1752,Tm-160,691600,1.0,38.0
1753,Tm-160m,691601,1.0,37.0
1754,Tm-161,691610,1.0,38.0
1755,Tm-162,691620,1.0,38.0
1756,Tm-162m,691621,2.0,38.0
1757,Tm-163,691630,1.0,37.0
1758,Tm-164,691640,1.0,38.0
1759,Tm-164m,691641,1.0,38.0
1760,Tm-165,691650,21.0,37.0
1761,Tm-166,691660,20.0,37.0
1762,Tm-167,691670,20.0,37.0
1763,Tm-168,691680,20.0,37.0
1764,Tm-169,691690,18.0,37.0
1765,Tm-170,691700,19.0,36.0
1766,Tm-171,691710,18.0,34.0
1767,Tm-172,691720,18.0,31.0
1768,Tm-173,691730,1.0,30.0
1769,Tm-174,691740,1.0,23.0
1770,Tm-175,691750,1.0,32.0
1771,Tm-176,691760,1.0,23.0
1772,Tm-177,691770,0.0,23.0
1773,Tm-178,691780,0.0,23.0
1774,Tm-179,691790,0.0,22.0
1775,Yb-151,701510,0.0,33.0
1776,Yb-151m,701511,0.0,34.0
1777,Yb-152,701520,0.0,35.0
1778,Yb-153,701530,0.0,32.0
1779,Yb-155,701550,0.0,39.0
1780,Yb-156,701560,0.0,39.0
1781,Yb-157,701570,0.0,41.0
1782,Yb-158,701580,0.0,33.0
1783,Yb-159,701590,0.0,31.0
1784,Yb-160,701600,0.0,38.0
1785,Yb-161,701610,0.0,37.0
1786,Yb-162,701620,1.0,37.0
1787,Yb-163,701630,1.0,37.0
1788,Yb-164,701640,1.0,37.0
1789,Yb-165,701650,1.0,37.0
1790,Yb-166,701660,17.0,36.0
1791,Yb-167,701670,1.0,37.0
1792,Yb-168,701680,18.0,36.0
1793,Yb-169,701690,18.0,36.0
1794,Yb-169m,701691,1.0,36.0
1795,Yb-170,701700,18.0,37.0
1796,Yb-171,701710,18.0,37.0
1797,Yb-172,701720,16.0,36.0
1798,Yb-173,701730,16.0,36.0
1799,Yb-174,701740,16.0,32.0
1800,Yb-175,701750,18.0,31.0
1801,Yb-176,701760,18.0,31.0
1802,Yb-176m,701761,1.0,31.0
1803,Yb-177,701770,1.0,31.0
1804,Yb-177m,701771,1.0,31.0
1805,Yb-178,701780,1.0,31.0
1806,Yb-179,701790,1.0,22.0
1807,Yb-180,701800,1.0,22.0
1808,Yb-181,701810,0.0,22.0
1809,Lu-154,711540,0.0,37.0
1810,Lu-154m,711541,0.0,37.0
1811,Lu-157,711570,0.0,41.0
1812,Lu-157m,711571,0.0,41.0
1813,Lu-158,711580,0.0,34.0
1814,Lu-159,711590,0.0,35.0
1815,Lu-160,711600,0.0,42.0
1816,Lu-160m,711601,0.0,44.0
1817,Lu-161,711610,0.0,32.0
1818,Lu-162,711620,0.0,39.0
1819,Lu-162m,711621,0.0,36.0
1820,Lu-162n,711622,0.0,37.0
1821,Lu-163,711630,0.0,38.0
1822,Lu-164,711640,0.0,38.0
1823,Lu-165,711650,0.0,30.0
1824,Lu-166,711660,1.0,38.0
1825,Lu-166m,711661,2.0,38.0
1826,Lu-166n,711662,1.0,38.0
1827,Lu-167,711670,1.0,38.0
1828,Lu-167m,711671,0.0,35.0
1829,Lu-168,711680,1.0,38.0
1830,Lu-168m,711681,1.0,38.0
1831,Lu-169,711690,20.0,37.0
1832,Lu-169m,711691,1.0,37.0
1833,Lu-170,711700,21.0,38.0
1834,Lu-170m,711701,1.0,0.0
1835,Lu-171,711710,21.0,37.0
1836,Lu-171m,711711,1.0,37.0
1837,Lu-172,711720,20.0,37.0
1838,Lu-172m,711721,1.0,37.0
1839,Lu-173,711730,19.0,37.0
1840,Lu-174,711740,18.0,37.0
1841,Lu-174m,711741,18.0,38.0
1842,Lu-175,711750,18.0,38.0
1843,Lu-176,711760,21.0,36.0
1844,Lu-176m,711761,1.0,37.0
1845,Lu-177,711770,22.0,35.0
1846,Lu-177m,711771,22.0,36.0
1847,Lu-178,711780,1.0,34.0
1848,Lu-178m,711781,1.0,32.0
1849,Lu-179,711790,1.0,31.0
1850,Lu-180,711800,1.0,32.0
1851,Lu-181,711810,1.0,23.0
1852,Lu-182,711820,1.0,23.0
1853,Lu-183,711830,0.0,23.0
1854,Lu-184,711840,0.0,23.0
1855,Lu-185,711850,0.0,22.0
1856,Hf-154,721540,0.0,35.0
1857,Hf-158,721580,0.0,40.0
1858,Hf-159,721590,0.0,41.0
1859,Hf-160,721600,0.0,32.0
1860,Hf-161,721610,0.0,32.0
1861,Hf-162,721620,0.0,35.0
1862,Hf-163,721630,0.0,31.0
1863,Hf-164,721640,0.0,38.0
1864,Hf-165,721650,0.0,35.0
1865,Hf-166,721660,0.0,37.0
1866,Hf-167,721670,0.0,36.0
1867,Hf-168,721680,1.0,37.0
1868,Hf-169,721690,1.0,37.0
1869,Hf-170,721700,20.0,37.0
1870,Hf-171,721710,21.0,37.0
1871,Hf-171m,721711,0.0,37.0
1872,Hf-172,721720,21.0,37.0
1873,Hf-173,721730,20.0,37.0
1874,Hf-174,721740,19.0,37.0
1875,Hf-175,721750,18.0,37.0
1876,Hf-176,721760,20.0,37.0
1877,Hf-177,721770,24.0,37.0
1878,Hf-177m,721771,1.0,38.0
1879,Hf-177n,721772,1.0,32.0
1880,Hf-178,721780,27.0,36.0
1881,Hf-178m,721781,1.0,36.0
1882,Hf-178n,721782,27.0,30.0
1883,Hf-179,721790,28.0,37.0
1884,Hf-179m,721791,1.0,36.0
1885,Hf-179n,721792,28.0,38.0
1886,Hf-180,721800,25.0,33.0
1887,Hf-180m,721801,25.0,32.0
1888,Hf-181,721810,23.0,31.0
1889,Hf-182,721820,18.0,30.0
1890,Hf-182m,721821,2.0,32.0
1891,Hf-183,721830,1.0,31.0
1892,Hf-184,721840,1.0,31.0
1893,Hf-184m,721841,0.0,32.0
1894,Hf-185,721850,1.0,23.0
1895,Hf-186,721860,1.0,22.0
1896,Hf-187,721870,1.0,22.0
1897,Hf-188,721880,0.0,21.0
1898,Hf-189,721890,0.0,22.0
1899,Ta-159,731590,0.0,42.0
1900,Ta-160,731600,0.0,42.0
1901,Ta-160m,731601,0.0,36.0
1902,Ta-161,731610,0.0,42.0
1903,Ta-161m,731611,0.0,35.0
1904,Ta-162,731620,0.0,34.0
1905,Ta-163,731630,0.0,33.0
1906,Ta-164,731640,0.0,41.0
1907,Ta-165,731650,0.0,35.0
1908,Ta-166,731660,0.0,39.0
1909,Ta-167,731670,0.0,38.0
1910,Ta-168,731680,0.0,39.0
1911,Ta-169,731690,0.0,38.0
1912,Ta-170,731700,1.0,38.0
1913,Ta-171,731710,1.0,38.0
1914,Ta-172,731720,1.0,38.0
1915,Ta-173,731730,1.0,35.0
1916,Ta-174,731740,1.0,33.0
1917,Ta-175,731750,1.0,38.0
1918,Ta-176,731760,1.0,39.0
1919,Ta-177,731770,21.0,38.0
1920,Ta-178,731780,1.0,37.0
1921,Ta-178m,731781,1.0,38.0
1922,Ta-179,731790,27.0,38.0
1923,Ta-180,731800,29.0,38.0
1924,Ta-180m,731801,29.0,38.0
1925,Ta-181,731810,26.0,35.0
1926,Ta-182,731820,25.0,35.0
1927,Ta-182m,731821,1.0,36.0
1928,Ta-182n,731822,1.0,0.0
1929,Ta-183,731830,22.0,34.0
1930,Ta-184,731840,1.0,32.0
1931,Ta-185,731850,1.0,32.0
1932,Ta-186,731860,1.0,24.0
1933,Ta-187,731870,1.0,23.0
1934,Ta-188,731880,1.0,23.0
1935,Ta-189,731890,0.0,23.0
1936,Ta-190,731900,0.0,23.0
1937,Ta-191,731910,0.0,22.0
1938,Ta-192,731920,0.0,22.0
1939,W-162,741620,0.0,41.0
1940,W-163,741630,0.0,42.0
1941,W-164,741640,0.0,32.0
1942,W-165,741650,0.0,40.0
1943,W-166,741660,0.0,31.0
1944,W-167,741670,0.0,31.0
1945,W-168,741680,0.0,38.0
1946,W-169,741690,0.0,30.0
1947,W-170,741700,0.0,37.0
1948,W-171,741710,0.0,37.0
1949,W-172,741720,1.0,33.0
1950,W-173,741730,1.0,37.0
1951,W-174,741740,1.0,37.0
1952,W-175,741750,1.0,38.0
1953,W-176,741760,1.0,38.0
1954,W-177,741770,1.0,38.0
1955,W-178,741780,20.0,37.0
1956,W-179,741790,1.0,38.0
1957,W-179m,741791,2.0,38.0
1958,W-180,741800,25.0,37.0
1959,W-181,741810,26.0,37.0
1960,W-182,741820,25.0,36.0
1961,W-183,741830,24.0,35.0
1962,W-183m,741831,1.0,35.0
1963,W-184,741840,22.0,34.0
1964,W-185,741850,22.0,33.0
1965,W-185m,741851,1.0,33.0
1966,W-186,741860,18.0,31.0
1967,W-187,741870,18.0,31.0
1968,W-188,741880,17.0,31.0
1969,W-189,741890,1.0,23.0
1970,W-190,741900,1.0,30.0
1971,W-191,741910,1.0,22.0
1972,W-192,741920,1.0,29.0
1973,W-193,741930,1.0,22.0
1974,W-194,741940,0.0,20.0
1975,Re-165,751650,0.0,42.0
1976,Re-165m,751651,0.0,34.0
1977,Re-166,751660,0.0,34.0
1978,Re-167,751670,0.0,41.0
1979,Re-167m,751671,0.0,41.0
1980,Re-168,751680,0.0,42.0
1981,Re-169,751690,0.0,34.0
1982,Re-169m,751691,0.0,34.0
1983,Re-170,751700,0.0,40.0
1984,Re-171,751710,0.0,39.0
1985,Re-172,751720,0.0,39.0
1986,Re-172m,751721,0.0,39.0
1987,Re-173,751730,0.0,38.0
1988,Re-174,751740,0.0,30.0
1989,Re-175,751750,0.0,38.0
1990,Re-176,751760,0.0,33.0
1991,Re-177,751770,0.0,39.0
1992,Re-178,751780,1.0,31.0
1993,Re-179,751790,1.0,39.0
1994,Re-180,751800,1.0,38.0
1995,Re-181,751810,20.0,37.0
1996,Re-182,751820,20.0,35.0
1997,Re-182m,751821,1.0,32.0
1998,Re-183,751830,22.0,37.0
1999,Re-184,751840,22.0,38.0
2000,Re-184m,751841,22.0,38.0
2001,Re-185,751850,22.0,36.0
2002,Re-186,751860,23.0,36.0
2003,Re-186m,751861,22.0,36.0
2004,Re-187,751870,20.0,35.0
2005,Re-188,751880,20.0,32.0
2006,Re-188m,751881,1.0,32.0
2007,Re-189,751890,19.0,31.0
2008,Re-190,751900,1.0,32.0
2009,Re-190m,751901,2.0,32.0
2010,Re-191,751910,1.0,30.0
2011,Re-192,751920,1.0,31.0
2012,Re-192m,751921,0.0,31.0
2013,Re-193,751930,1.0,23.0
2014,Re-194,751940,1.0,23.0
2015,Re-195,751950,1.0,22.0
2016,Re-196,751960,0.0,22.0
2017,Os-168,761680,0.0,33.0
2018,Os-169,761690,0.0,40.0
2019,Os-170,761700,0.0,39.0
2020,Os-171,761710,0.0,39.0
2021,Os-172,761720,0.0,39.0
2022,Os-173,761730,0.0,38.0
2023,Os-174,761740,0.0,38.0
2024,Os-175,761750,0.0,38.0
2025,Os-176,761760,0.0,37.0
2026,Os-177,761770,0.0,38.0
2027,Os-178,761780,0.0,38.0
2028,Os-179,761790,0.0,38.0
2029,Os-180,761800,1.0,38.0
2030,Os-181,761810,1.0,38.0
2031,Os-181m,761811,1.0,38.0
2032,Os-182,761820,20.0,38.0
2033,Os-183,761830,20.0,38.0
2034,Os-183m,761831,2.0,38.0
2035,Os-184,761840,20.0,37.0
2036,Os-185,761850,20.0,37.0
2037,Os-186,761860,20.0,37.0
2038,Os-187,761870,20.0,37.0
2039,Os-188,761880,20.0,35.0
2040,Os-189,761890,21.0,36.0
2041,Os-189m,761891,1.0,32.0
2042,Os-190,761900,21.0,33.0
2043,Os-190m,761901,1.0,33.0
2044,Os-191,761910,23.0,31.0
2045,Os-191m,761911,22.0,31.0
2046,Os-192,761920,20.0,30.0
2047,Os-192m,761921,1.0,32.0
2048,Os-193,761930,20.0,31.0
2049,Os-194,761940,18.0,29.0
2050,Os-195,761950,1.0,30.0
2051,Os-196,761960,1.0,30.0
2052,Os-197,761970,1.0,22.0
2053,Os-198,761980,1.0,29.0
2054,Os-199,761990,1.0,22.0
2055,Os-200,762000,0.0,20.0
2056,Os-201,762010,0.0,20.0
2057,Ir-171,771710,0.0,41.0
2058,Ir-171m,771711,0.0,34.0
2059,Ir-172,771720,0.0,42.0
2060,Ir-172m,771721,0.0,35.0
2061,Ir-173,771730,0.0,40.0
2062,Ir-173m,771731,0.0,34.0
2063,Ir-174,771740,0.0,41.0
2064,Ir-174m,771741,0.0,35.0
2065,Ir-175,771750,0.0,41.0
2066,Ir-176,771760,0.0,31.0
2067,Ir-177,771770,0.0,40.0
2068,Ir-178,771780,0.0,39.0
2069,Ir-179,771790,0.0,39.0
2070,Ir-180,771800,0.0,39.0
2071,Ir-181,771810,0.0,39.0
2072,Ir-182,771820,1.0,39.0
2073,Ir-183,771830,1.0,39.0
2074,Ir-184,771840,1.0,39.0
2075,Ir-185,771850,20.0,39.0
2076,Ir-186,771860,20.0,39.0
2077,Ir-186m,771861,1.0,35.0
2078,Ir-187,771870,1.0,38.0
2079,Ir-188,771880,19.0,38.0
2080,Ir-189,771890,21.0,38.0
2081,Ir-190,771900,24.0,38.0
2082,Ir-190m,771901,1.0,38.0
2083,Ir-190n,771902,2.0,38.0
2084,Ir-191,771910,27.0,38.0
2085,Ir-191m,771911,1.0,34.0
2086,Ir-191n,771912,1.0,37.0
2087,Ir-192,771920,30.0,33.0
2088,Ir-192m,771921,2.0,33.0
2089,Ir-192n,771922,29.0,27.0
2090,Ir-193,771930,26.0,33.0
2091,Ir-193m,771931,25.0,31.0
2092,Ir-194,771940,25.0,30.0
2093,Ir-194m,771941,25.0,25.0
2094,Ir-195,771950,1.0,31.0
2095,Ir-195m,771951,2.0,31.0
2096,Ir-196,771960,1.0,31.0
2097,Ir-196m,771961,21.0,32.0
2098,Ir-197,771970,1.0,30.0
2099,Ir-197m,771971,1.0,30.0
2100,Ir-198,771980,1.0,30.0
2101,Ir-199,771990,1.0,30.0
2102,Ir-200,772000,1.0,22.0
2103,Ir-201,772010,0.0,22.0
2104,Ir-202,772020,0.0,21.0
2105,Ir-203,772030,0.0,21.0
2106,Pt-175,781750,0.0,32.0
2107,Pt-176,781760,0.0,33.0
2108,Pt-177,781770,0.0,39.0
2109,Pt-178,781780,0.0,39.0
2110,Pt-179,781790,0.0,36.0
2111,Pt-180,781800,0.0,38.0
2112,Pt-181,781810,0.0,39.0
2113,Pt-182,781820,0.0,38.0
2114,Pt-183,781830,0.0,38.0
2115,Pt-183m,781831,0.0,38.0
2116,Pt-184,781840,3.0,38.0
2117,Pt-185,781850,1.0,38.0
2118,Pt-185m,781851,1.0,38.0
2119,Pt-186,781860,3.0,38.0
2120,Pt-187,781870,1.0,38.0
2121,Pt-188,781880,17.0,38.0
2122,Pt-189,781890,17.0,38.0
2123,Pt-190,781900,19.0,37.0
2124,Pt-191,781910,22.0,37.0
2125,Pt-192,781920,26.0,37.0
2126,Pt-193,781930,28.0,35.0
2127,Pt-193m,781931,28.0,35.0
2128,Pt-194,781940,27.0,35.0
2129,Pt-195,781950,25.0,36.0
2130,Pt-195m,781951,25.0,31.0
2131,Pt-196,781960,23.0,31.0
2132,Pt-197,781970,23.0,30.0
2133,Pt-197m,781971,2.0,31.0
2134,Pt-198,781980,21.0,29.0
2135,Pt-199,781990,1.0,31.0
2136,Pt-199m,781991,1.0,31.0
2137,Pt-200,782000,16.0,28.0
2138,Pt-201,782010,1.0,30.0
2139,Pt-202,782020,1.0,30.0
2140,Pt-203,782030,0.0,22.0
2141,Pt-204,782040,0.0,28.0
2142,Pt-205,782050,0.0,21.0
2143,Pt-206,782060,0.0,22.0
2144,Au-176,791760,0.0,42.0
2145,Au-176m,791761,0.0,35.0
2146,Au-177,791770,0.0,41.0
2147,Au-177m,791771,0.0,35.0
2148,Au-178,791780,0.0,33.0
2149,Au-179,791790,0.0,33.0
2150,Au-180,791800,0.0,34.0
2151,Au-181,791810,0.0,34.0
2152,Au-182,791820,0.0,39.0
2153,Au-183,791830,0.0,40.0
2154,Au-184,791840,0.0,38.0
2155,Au-184m,791841,0.0,40.0
2156,Au-185,791850,0.0,39.0
